name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
pi Her b,Candidate,27.0,,,,,,,,,608.0,36.0,36.0,2.19,,,,,,,,,,1999,2024-07-06,,,,,,,,,,,,,,,,,,,,,,,,,150.0,14.0,14.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,pi Her,258.7618093598654,36.809161548959445,4.61,1.49,0.72,-0.11,-0.023,112.4859,,,,,,3.77,0.2,0.2,64.02,0.91,0.89,K3II,0.22,0.04,0.04,4223.0,53.0,53.0,,,67 Her
psi UMa b,Candidate,2.3,0.3,0.3,,,,,,,463.6,11.2,10.9,1.44,0.02,0.02,0.3,0.09,0.09,,,,,2004,2024-07-29,42.1,24.1,19.1,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 54539 b,,psi UMa,167.41586789931583,44.498487754734164,3.01,1.61,1.16,0.376,0.44,45.02477,1.37852,1.37852,-0.14,0.1,0.1,2.0,0.29,0.29,20.45,0.3,0.3,K1III,1.48,0.61,0.61,4537.0,27.0,27.0,,,"52 UMa, HIP 54539"
psi UMa c,Candidate,,,,4.44,,,,,,19929.2,,,17.513,,,0.8,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HIP 54539 c,,psi UMa,167.41586789931583,44.498487754734164,3.01,1.61,1.16,0.376,0.44,45.02477,1.37852,1.37852,-0.14,0.1,0.1,2.0,0.29,0.29,20.45,0.3,0.3,K1III,1.48,0.61,0.61,4537.0,27.0,27.0,,,"52 UMa, HIP 54539"
RY Tau b,Candidate,,,,,,,,,,22.0,,,0.2,,,,,,,,,,2021,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,RY Tau,65.487500019,20.44333335,,,,,,443.0,40.0,40.0,,,,2.08,,,,,,K1IV,,,,5945.0,,,,,
Sand 178 c,Candidate,,0.25,0.38,3.07,0.25,0.38,,,,19.99,0.42,0.42,,,,0.24,0.16,0.16,,,,,2021,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,382.0,85.0,925.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Sand 178,194.5925000074,26.5044722358,14.0,,,,,58.8285,0.15625,0.15625,0.116,0.0097,0.0097,0.482,0.02,0.02,0.4842,0.0144,0.0144,M2.4V,,,,3520.0,157.0,157.0,,,2MASS J12582222+2630162
Sand 178 d,Candidate,,1.18,3.23,5.3,1.18,3.23,,,,,,,,,,0.48,0.16,0.16,,,,,2021,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,590.0,240.0,2690.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Sand 178,194.5925000074,26.5044722358,14.0,,,,,58.8285,0.15625,0.15625,0.116,0.0097,0.0097,0.482,0.02,0.02,0.4842,0.0144,0.0144,M2.4V,,,,3520.0,157.0,157.0,,,2MASS J12582222+2630162
Sand 178 e,Candidate,,0.77,4.3,7.23,0.77,4.3,,,,186.37,2.66,2.66,,,,0.36,0.17,0.17,,,,,2021,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,433.0,89.0,54.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Sand 178,194.5925000074,26.5044722358,14.0,,,,,58.8285,0.15625,0.15625,0.116,0.0097,0.0097,0.482,0.02,0.02,0.4842,0.0144,0.0144,M2.4V,,,,3520.0,157.0,157.0,,,2MASS J12582222+2630162
SAND 978 b,Candidate,,0.17,0.17,2.18,0.17,0.17,,,,511.21,2.04,2.04,,,,,,,,,,,2017,2019-01-25,,,,,,,2456135.92,21.23,21.23,,,,,,,,,,,3.65,3.65,,,,45.48,3.65,3.65,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,SAND 978,132.822833339,11.7563027978,9.71,,,,,,,,,,,1.37,0.02,0.02,,,,K4III,,,,4200.0,21.0,21.0,,,
S Ori 45 b,Candidate,11.0,2.0,2.0,,,,,,,0.235416666,0.077,0.077,0.0025,0.0005,0.0005,,,,,,,,2003,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,S Ori J053825.6-024836 b,,,84.606573,-2.810284,,,,,,442.0,20.0,20.0,,,,,,,,,,,,,,,,,,,
TOI-1136 h,Candidate,,18.8,0.0,18.8,18.8,0.0,,,,77.0,,,0.36,,,0.002,,,,,,,2023,2023-12-11,63.0,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,460.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-1136,192.183333348,64.855277799,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770.0,50.0,50.0,,,
